Scheme Name	Net Asset Value
Nippon India Gilt  Fund - Direct Plan Growth Plan - Growth Option	43.0576
Nippon India Gilt  Fund - Institutional Plan-Growth Plan -Growth Option	38.6770
NIPPON INDIA GILT  FUND - MONTHLY IDCW Option	10.5581
Nippon India Gilt  Fund -Growth Plan - Growth Option	38.0696
Nippon India Gilt  Fund -P F Option-Automatic Annual Reinvest Option	31.9235
Nippon India Gilt  Fund -P F Option-Defined Maturity Date Option	38.0696
Nippon India Gilt  Fund- Direct Plan- Growth Plan- Bonus Option	24.0650
Nippon India Gilt  Fund- Growth Plan- Bonus Option	13.0522
Nippon India Gilt  Fund-Institutional Plan-P F Option-Automatic Capital Appreciation Payout Option	23.0785
Nippon India Gilt  Fund-P F Option-Automatic Capital Appreciation Payout Option	38.0696
Nippon India Gilt Fund - Direct Plan - P F Option - Automatic Annual Reinvest Option	23.3057
PGIM India Gilt Fund - Bonus	13.8662
PGIM India Gilt Fund - Direct Plan - Growth	32.8746
PGIM India Gilt Fund - Direct Plan - Half Yearly Bonus	12.8877
PGIM India Gilt Fund - Direct Plan - Quarterly Dividend	14.6606
PGIM India Gilt Fund - Growth	30.2773
PGIM India Gilt Fund - Half Yearly Bonus	12.6178
PGIM India Gilt Fund - Quarterly Dividend	13.7938
quant Gilt Fund - Growth Option - Direct Plan	12.2173
quant Gilt Fund - Growth Option - Regular Plan	11.8923
quant Gilt Fund - IDCW Option - Direct Plan	12.2264
quant Gilt Fund - IDCW Option - Regular Plan	11.9006
SBI MAGNUM GILT FUND -  GROWTH - PF (Fixed Period - 3 Yrs) Option	39.9625
SBI MAGNUM GILT FUND -  GROWTH - PF (Regular) Option	42.7810
SBI MAGNUM GILT FUND - DIRECT PLAN - GROWTH	70.6970
SBI Magnum Gilt Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	22.5634
SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 1 Yr)	20.5836
SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 2 Yrs)	20.8298
SBI Magnum Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 3 Yrs)	20.1961
SBI MAGNUM GILT FUND - REGULAR PLAN - GROWTH	66.6246
SBI Magnum Gilt Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	20.4869
Tata Gilt Retirement Plan (28/2/25) - Payout of IDCW Option	34.1747
Tata Gilt Retirement Plan- 28/2/25 Growth Option	34.2334
Tata Gilt Securities Fund - Direct Plan - Payout of IDCW Option	24.8015
Tata Gilt Securities Fund - Regular Plan - Payout of IDCW Option	21.7155
Tata Gilt Securities Fund -Regular Plan- Growth Option	78.3353
Tata Gilt Securities Fund- Direct Plan - Growth Option	88.0810
Union Gilt Fund - Direct Plan - Annual IDCW Option	12.2909
Union Gilt Fund - Direct Plan - Growth Option	12.2909
Union Gilt Fund - Direct Plan - Half-yearly IDCW Option	12.2909
Union Gilt Fund - Regular Plan - Annual IDCW Option	12.0915
Union Gilt Fund - Regular Plan - Growth Option	12.0915
Union Gilt Fund - Regular Plan - Half-yearly IDCW Option	12.0915
UTI - GILT FUND - Direct Plan - Growth Option	65.7963
UTI - GILT FUND - Discontinued PF Plan - Growth Option	47.2012
UTI - GILT FUND - Discontinued PF Plan Prescribed Date Auto Redemption Option	47.2275
UTI - GILT FUND - Regular Plan - Growth Option	63.4823
UTI - GILT FUND -Discontinued PF Plan -Dividend Option	25.9796
UTI Gilt Fund - Direct Plan - IDCW	30.6963
UTI Gilt Fund - Regular Plan - IDCW	38.3044
BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Quarterly IDCW	11.6375
BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Growth	46.7354
BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Weekly IDCW	10.3619
BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Monthly IDCW	10.4915
BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Periodic IDCW	16.7301
BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Growth	47.5588
BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Monthly IDCW	10.5424
BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Periodic IDCW	14.1668
BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Quarterly IDCW	11.9392
BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Weekly IDCW	18.0295
DSP 10Y G-Sec Fund - Direct Plan - Growth	22.7407
DSP 10Y G-Sec Fund - Direct Plan - IDCW	11.0029
DSP 10Y G-Sec Fund - Direct Plan - IDCW - Monthly	10.6681
DSP 10Y G-Sec Fund - Direct Plan - IDCW - Quarterly	11.0139
DSP 10Y G-Sec Fund - Regular Plan - Growth	22.1788
DSP 10Y G-Sec Fund - Regular Plan - IDCW	10.7847
DSP 10Y G-Sec Fund - Regular Plan - IDCW - Monthly	10.8253
DSP 10Y G-Sec Fund - Regular Plan - IDCW - Quarterly	11.0671
ICICI Prudential Constant Maturity Gilt Fund - Annual IDCW	10.4889
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Annual IDCW	10.6928
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Growth	25.8046
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Half Yearly IDCW	10.6790
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Monthly IDCW	11.3870
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Quarterly IDCW	11.7645
ICICI Prudential Constant Maturity Gilt Fund - Growth	25.2265
ICICI Prudential Constant Maturity Gilt Fund - Half Yearly IDCW	10.3816
ICICI Prudential Constant Maturity Gilt Fund - Monthly IDCW	11.1867
ICICI Prudential Constant Maturity Gilt Fund - quarterly IDCW	11.4951
SBI MAGNUM CONSTANT MATURITY FUND - DIRECT PLAN - GROWTH	67.6071
SBI Magnum Constant Maturity Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	21.9915
SBI MAGNUM CONSTANT MATURITY FUND - REGULAR PLAN - GROWTH	64.9391
SBI Magnum Constant Maturity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	21.1204
UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Annual IDCW Option	11.6659
UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Flexi IDCW Option	13.0403
UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Growth Option	13.0402
UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Half Yearly IDCW Option	12.8746
UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Quarterly IDCW Option	13.0404
UTI Gilt Fund with 10 year Constant Duration - Regular Plan - Annual IDCW Option	11.467
UTI Gilt Fund with 10 year Constant Duration - Regular Plan - Flexi IDCW Option	12.8319
UTI Gilt Fund with 10 year Constant Duration - Regular Plan - Growth Option	12.8324
UTI Gilt Fund with 10 year Constant Duration - Regular Plan - Half Yearly IDCW Option	12.8321
UTI Gilt Fund with 10 year Constant Duration - Regular Plan - Quarterly IDCW Option	12.8324
360 ONE LIQUID FUND DIRECT PLAN  DAILY DIVIDEND REINVESTMENT	1000.3283
360 ONE LIQUID FUND DIRECT PLAN  GROWTH	2069.4516
360 ONE LIQUID FUND DIRECT PLAN  WEEKLY DIVIDEND	1005.1812
360 ONE LIQUID FUND REGULAR PLAN  DAILY DIVIDEND REINVESTMENT	1000.3283
360 ONE LIQUID FUND REGULAR PLAN  GROWTH	2055.9679
360 ONE LIQUID FUND REGULAR PLAN  WEEKLY DIVIDEND	1005.1604
Aditya Birla Sun Life Liquid Fund - Growth	430.6026
Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan	436.0191
Aditya Birla Sun Life Liquid Fund -Daily IDCW	100.195
Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW	100.195
Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW	157.3169
Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW	100.3055
Aditya Birla Sun Life Liquid Fund -Institutional - IDCW	108.023
Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW	108.2732
Aditya Birla Sun Life Liquid Fund -Regular - IDCW	119.7825
Aditya Birla Sun Life Liquid Fund -Retail - IDCW	163.694
Aditya Birla Sun Life Liquid Fund -weekly IDCW	100.3036
Aditya Birla Sun Life Liquid Fund- Discipline Advantage Plan	291.8761
Aditya Birla Sun Life Liquid Fund-Institutional (Growth)	717.0916
Aditya Birla Sun Life Liquid Fund-Retail (Growth)	698.7788
Axis Liquid Fund - Direct plan - Bonus Option	2215.5705
Axis Liquid Fund - Direct Plan - Daily IDCW	1000.9560
Axis Liquid Fund - Direct Plan - Growth Option	3002.2991
Axis Liquid Fund - Direct Plan - Monthly IDCW	1000.8537
Axis Liquid Fund - Direct Plan - Weekly IDCW	1002.4262
Axis Liquid Fund - Regular Plan - Daily IDCW	1001.3998
Axis Liquid Fund - Regular Plan - Growth Option	2975.6767
Axis Liquid Fund - Regular Plan - Monthly IDCW	1001.4411
Axis Liquid Fund - Regular Plan - Weekly IDCW	1002.4206
Axis Liquid Fund - Retail Plan - Daily IDCW	1000.9559
Axis Liquid Fund - Retail Plan - Growth Option	2719.3557
Axis Liquid Fund - Retail Plan - Monthly IDCW	1000.8372
Axis Liquid Fund - Retail Plan - Weekly IDCW	1000.9804
Bajaj Finserv Liquid Fund - Direct Plan - Daily - IDCW	1034.6939
Bajaj Finserv Liquid Fund - Direct Plan - Fortnightly - IDCW	1036.1777
Bajaj Finserv Liquid Fund - Direct Plan - Growth	1178.2940
Bajaj Finserv Liquid Fund - Direct Plan - Monthly - IDCW	1036.1780
Bajaj Finserv Liquid Fund - Direct Plan - Weekly - IDCW	1035.0423
Bajaj Finserv Liquid Fund - Regular Plan - Daily - IDCW	1033.8241
Bajaj Finserv Liquid Fund - Regular Plan - Fortnightly - IDCW	1035.2648
Bajaj Finserv Liquid Fund - Regular Plan - Growth	1173.5003
Bajaj Finserv Liquid Fund - Regular Plan - Monthly - IDCW	1035.2642
Bajaj Finserv Liquid Fund - Regular Plan - Weekly - IDCW	1034.1617
BANDHAN LIQUID Fund - Regular Plan - Daily IDCW	1001.4161
BANDHAN LIQUID Fund - Regular Plan - Growth	3226.9235
BANDHAN LIQUID Fund - Regular Plan - Monthly IDCW	1005.0350
BANDHAN LIQUID Fund - Regular Plan - Periodic IDCW	1393.1718
BANDHAN LIQUID Fund - Regular Plan - Weekly IDCW	1002.1393
BANDHAN LIQUID Fund - Unclaimed IDCW Less than 3 years	1.7363
BANDHAN LIQUID Fund - Unclaimed IDCW More than 3 years	1.0000
BANDHAN LIQUID Fund - Unclaimed Redemption Less than 3 years	1.7363
BANDHAN LIQUID Fund - Unclaimed Redemption More than 3 years	1.0000
BANDHAN LIQUID Fund -Direct Plan -Monthly IDCW	1011.4429
BANDHAN LIQUID Fund -Direct Plan -Weekly IDCW	1007.9008
BANDHAN LIQUID Fund -Direct Plan-Daily IDCW	1001.6663
BANDHAN LIQUID Fund -Direct Plan-Growth	3259.9373
BANDHAN LIQUID Fund -Direct Plan-Periodic IDCW	1313.3065
BANK OF INDIA Liquid Fund  Unclaimed Dividend greater than  3 years	1000.0000
BANK OF INDIA Liquid Fund  Unclaimed Dividend Upto 3 years	1226.9964
BANK OF INDIA Liquid Fund  Unclaimed Redemption greater than  3 years	1000.0000
BANK OF INDIA Liquid Fund  Unclaimed Redemption Upto 3 years	1226.8682
BANK OF INDIA Liquid Fund- Direct Plan- Daily IDCW	1002.6483
BANK OF INDIA Liquid Fund- Direct Plan- Growth	3109.1112
BANK OF INDIA Liquid Fund- Direct Plan- Weekly IDCW	1061.9197
BANK OF INDIA Liquid Fund- Regular Plan- Daily IDCW	1002.1069
BANK OF INDIA Liquid Fund- Regular Plan- Growth	3078.0191
BANK OF INDIA Liquid Fund- Regular Plan- Weekly IDCW	1001.6574
Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - DAILY IDCW OPTION	1002.0849
Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION	3112.0064
Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - WEEKLY IDCW OPTION	1219.8582
Baroda BNP Paribas Liquid Fund - Plan C	1422.9738
Baroda BNP Paribas Liquid Fund - Regular - Weekly IDCW Option	0.0000
Baroda BNP Paribas LIQUID FUND - Regular Plan - DAILY IDCW OPTION	1001.1996
Baroda BNP Paribas LIQUID FUND - Regular Plan - GROWTH OPTION	3071.5799
Baroda BNP Paribas LIQUID FUND - Regular Plan - WEEKLY IDCW OPTION	1000.4090
BARODA BNP PARIBAS LIQUID FUND PLAN C IDCW UPTO 3YRS	1391.4327
BARODA BNP PARIBAS LIQUID FUND PLAN C REDEMPTION UPTO 3YRS	1387.3652
Baroda BNP Paribas LIQUID FUND- Defunct Plan -Growth Option	4522.0812
Baroda BNP Paribas LIQUID FUND-Defunct Plan- IDCW Option	3731.1775
Baroda BNP Paribas LIQUID FUND-Defunct Plan-Daily IDCW Option	1006.0602
CANARA ROBECO LIQUID FUND - DIRECT PLAN - DAILY IDCW (Reinvestment)	1005.5000
CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION	3236.2327
CANARA ROBECO LIQUID FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	2315.9786
CANARA ROBECO LIQUID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment)	1000.2098
CANARA ROBECO LIQUID FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment)	1000.1469
CANARA ROBECO LIQUID FUND - REGULAR PLAN - DAILY IDCW (Reinvestment)	1005.5000
CANARA ROBECO LIQUID FUND - REGULAR PLAN - GROWTH OPTION	3216.4632
CANARA ROBECO LIQUID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment)	1000.1473
CANARA ROBECO LIQUID FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment)	1000.1469
Canara Robeco Liquid Fund -Unclaimed Redemption and Dividend Plan -Direct Growth Option	1765.7892
DSP Liquidity Fund - Direct Plan - Growth	3860.4418
DSP Liquidity Fund - Direct Plan - IDCW - Daily	1001.1542
DSP Liquidity Fund - Direct Plan - IDCW - Weekly	1002.1255
DSP Liquidity Fund - Regular Plan - Growth	3815.1801
DSP Liquidity Fund - Regular Plan - IDCW - Weekly	1002.1064
DSP Liquidity Fund- Regular Plan - IDCW - Daily	1001.1542
Edelweiss Liquid Fund - Direct Plan - Bonus Option	2029.9758
Edelweiss Liquid Fund - Direct Plan - Growth Option	3489.2385
Edelweiss Liquid Fund - Direct Plan - IDCW Option	3489.2521
Edelweiss Liquid Fund - Direct Plan Annual - IDCW Option	3489.2143
Edelweiss Liquid Fund - Direct Plan daily - IDCW Option	1165.1598
Edelweiss Liquid Fund - Direct Plan Fortnightly - IDCW Option	2477.7036
Edelweiss Liquid Fund - Direct Plan Monthly - IDCW Option	1004.4293
Edelweiss Liquid Fund - Direct Plan weekly - IDCW Option	2173.4003
Edelweiss Liquid Fund - Regular Plan - Bonus Option	1991.0058
Edelweiss Liquid Fund - Regular Plan - Growth Option	3417.8304
Edelweiss Liquid Fund - Regular Plan - IDCW Option	3417.8331
Edelweiss Liquid Fund - Regular Plan Annual - IDCW Option	2364.8439
Edelweiss Liquid Fund - Regular Plan Daily - IDCW Option	1265.5241
Edelweiss Liquid Fund - Regular Plan Fortnightly - IDCW Option	2156.7336
Edelweiss Liquid Fund - Regular Plan Monthly - IDCW Option	1082.5906
Edelweiss Liquid Fund - Regular Plan Weekly - IDCW Option	1215.3954
Edelweiss Liquid Fund - Retail Plan - Growth Option	3108.2381
Edelweiss Liquid Fund - Retail Plan - Weekly Dividend Option	1231.1583
Edelweiss Liquid Fund - Retail Plan Daily - IDCW Option	1113.7448
Edelweiss Liquid Fund - Retail Plan Monthly - IDCW Option	1243.7705
Franklin India Liquid Fund - Regular Plan - Daily - IDCW	1509.2342
Franklin India Liquid Fund - Regular Plan - Growth	6035.6754
Franklin India Liquid Fund - Regular Plan - Weekly - IDCW	1244.8281
Franklin India Liquid Fund - Super Institutional - Direct - Growth	4057.9985
Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW	1000.0000
Franklin India Liquid Fund - Super Institutional Plan - Direct - Daily - IDCW	1002.2720
Franklin India Liquid Fund - Super Institutional Plan - Direct - Weekly - IDCW	1021.9569
Franklin India Liquid Fund - Super Institutional Plan - Growth	4023.5252
Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW	1032.9364
Franklin India Liquid Fund - Unclaimed IDCW Investor Education Plan - Growth	10.0000
Franklin India Liquid Fund - Unclaimed IDCW Plan - Growth	17.1243
Franklin India Liquid Fund - Unclaimed Redemption Investor Education Plan - Growth	10.0000
Franklin India Liquid Fund - Unclaimed Redemption Plan - Growth	17.1243
Franklin India Liquid Fund - Institution-Growth	0.0000
Franklin India Liquid Fund - Institutional Plan - Daily - IDCW	1000.0000
Franklin India Liquid Fund - Institutional Plan - Weekly - IDCW	1055.1916
Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option	2617.1176
Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment)	1002.0907
Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Regular Plan - Growth Option	2584.4443
Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1001.9371
Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1033.1523
Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1002.1153
Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Reinvestment)	1002.0894
Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1005.3389
Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1002.1107
Groww Liquid Fund (formerly known as Indiabulls Liquid) Fund- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1001.9277
HDFC Liquid Fund - Growth Option - Direct Plan	5301.3404
HDFC Liquid Fund - Growth Plan	5242.6066
HDFC Liquid Fund - IDCW Daily	1019.82
HDFC Liquid Fund - IDCW Daily - Direct Plan	1019.82
HDFC Liquid Fund - IDCW Monthly	1026.6459
HDFC Liquid Fund - IDCW Monthly - Direct Plan	1026.6505
HDFC Liquid Fund - IDCW Plan Weekly	1031.377
HDFC Liquid Fund - IDCW Weekly - Direct Plan	1031.3816
HDFC Liquid Fund-PREMIUM PLUS- Growth	10.0000
HSBC Liquid Fund -  Growth Direct	2690.2026
HSBC Liquid Fund - Direct Daily IDCW	1001.576
HSBC Liquid Fund - Direct Monthly IDCW	1038.0592
HSBC Liquid Fund - Direct Weekly IDCW	1195.3436
HSBC Liquid Fund - Growth	3844.0045
HSBC Liquid Fund - IDCW	1019.3
HSBC Liquid Fund - Institutional Daily IDCW	1562.8262
HSBC Liquid Fund - Regular Daily IDCW	1001.3789
HSBC Liquid Fund - Regular Growth	2664.2593
HSBC Liquid Fund - Regular Monthly IDCW	1002.4661
HSBC Liquid Fund - Regular Weekly IDCW	1107.6375
HSBC Liquid Fund - Weekly IDCW	1001.4599
ICICI Prudential Liquid Fund -Quarterly IDCW	101.4288
ICICI Prudential Liquid Institutional Plus Fund - Div - Daily	118.5152
ICICI Prudential Liquid Fund - Bonus	121.0704
ICICI Prudential Liquid Fund - Daily IDCW	100.1482
ICICI Prudential Liquid Fund - Direct Plan -  Annual IDCW	103.9850
ICICI Prudential Liquid Fund - Direct Plan -  Half Yearly IDCW	106.7325
ICICI Prudential Liquid Fund - Direct Plan -  IDCW Others	185.3038
ICICI Prudential Liquid Fund - Direct Plan - Daily IDCW	100.1082
ICICI Prudential Liquid Fund - Direct Plan - Growth	399.5354
ICICI Prudential Liquid Fund - Direct Plan - Monthly IDCW	100.4287
ICICI Prudential Liquid Fund - Direct Plan - Quarterly IDCW	102.2043
ICICI Prudential Liquid Fund - Direct Plan - Weekly IDCW	100.2155
ICICI Prudential Liquid Fund - Direct Plan Bonus	149.1904
ICICI Prudential Liquid Fund - Growth	395.5407
ICICI Prudential Liquid Fund - Half Yearly IDCW	105.6475
ICICI Prudential Liquid Fund - IDCW Others	183.8267
ICICI Prudential Liquid Fund - Institutional Option - I	275.6151
ICICI Prudential Liquid Fund - Unclaimed IDCW	137.2884
ICICI Prudential Liquid Fund - Unclaimed IDCW Investor Education	100.0000
ICICI Prudential Liquid Fund - Unclaimed Redemption	137.2884
ICICI Prudential Liquid Fund - Unclaimed Redemption Investor Education	100.0000
ICICI Prudential Liquid Fund - Weekly IDCW	100.1898
ICICI Prudential Liquid Fund -Monthly IDCW	100.3202
ICICI Prudential Liquid Fund-Annual IDCW	103.8506
ICICI Prudential Liquid Fund - Institutional - Daily - Div	118.5022
ICICI Prudential Liquid Fund - Institutional - Weekly - Div	118.6133
ICICI Prudential Liquid Fund Retail Daily Dividend	118.5142
ICICI Prudential Liquid Fund Retail Growth	450.7797
ICICI Prudential Liquid Fund Retail Monthly Dividend	100.5372
ICICI Prudential Liquid Fund Retail Weekly Dividend	118.9171
ICICI Prudential Liquid Institutional Fund - Growth	462.33
Invesco India Liquid Fund - Bonus Option	3681.1409
Invesco India Liquid Fund - Daily IDCW (Reinvestment)	1002.7594
Invesco India Liquid Fund - Direct Plan - Growth	3705.2271
Invesco India Liquid Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1086.8055
Invesco India Liquid Fund - Direct Plan - Weekly IDCW (Reinvestment)	1117.5538
Invesco India Liquid Fund - Direct Plan- Daily IDCW (Reinvestment)	1005.8604
Invesco India Liquid Fund - Growth	3672.9434
Invesco India Liquid Fund - Monthly IDCW (Payout / Reinvestment)	1007.2474
Invesco India Liquid Fund - Regular - Growth	3245.4627
Invesco India Liquid Fund - Regular - Weekly IDCW (Reinvestment)	1003.8638
Invesco India Liquid Fund - Unclaimed Dividend Plan - Below 3 Years	1756.2008
Invesco India Liquid Fund - Unclaimed Redemption Plan - Below 3 years	1755.8152
Invesco India Liquid Fund - Weekly IDCW (Reinvestment)	1018.9196
ITI Liquid Fund - Direct Plan - Annually IDCW Option	1406.3435
ITI Liquid Fund - Direct Plan - Daily IDCW Option	1001.2179
ITI Liquid Fund - Direct Plan - Fortnightly IDCW Option	1001.1646
ITI Liquid Fund - Direct Plan - Growth Option	1404.5762
ITI Liquid Fund - Direct Plan - Monthly IDCW Option	1001.0000
ITI Liquid Fund - Direct Plan - Weekly IDCW Option	1001.1599
ITI Liquid Fund - Regular Plan - Annually IDCW Option	1399.0484
ITI Liquid Fund - Regular Plan - Daily IDCW Option	1001.0000
ITI Liquid Fund - Regular Plan - Fortnightly Income Distribution cum capital withdrawal option Option	1001.0001
ITI Liquid Fund - Regular Plan - Growth Option	1391.8044
ITI Liquid Fund - Regular Plan - Monthly IDCW Option	1001.1538
ITI Liquid Fund - Regular Plan - Weekly IDCW Option	1001.1558
JioBlackRock Liquid Fund - Direct Plan - Growth Option	1023.3385
JM Liquid Fund (Direct) - Bonus Option - Bonus Option - Principal units	22.4898
JM Liquid Fund (Direct) - Daily IDCW	10.4302
JM Liquid Fund (Direct) - Growth Option	73.7001
JM Liquid Fund (Direct) - Quarterly IDCW	41.8426
JM Liquid Fund (Direct) - Weekly IDCW	11.0079
JM Liquid Fund (Regular) - Quarterly IDCW	41.2566
JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option	41.906
JM Liquid Fund (Regular) - Weekly IDCW	11.0053
JM Liquid Fund - Growth Option	72.8901
JM Liquid Fund - Unclaimed Application Refund Amount I.E.F. (Direct) - Growth Plan	41.4437
JM Liquid Fund - Unclaimed Brokerage I.E.F. (Direct) - Growth Plan	41.4437
JM Liquid Fund - Withheld Brokerage I.E.F. (Direct) - Growth Plan	41.4437
JM Liquid Fund Unclaimed Dividend (Direct) Growth Plan	57.8229
JM Liquid Fund Unclaimed Dividend IEF (Direct) Growth Plan	41.4437
JM Liquid Fund Unclaimed Redemption (Direct) Growth Plan	57.8230
JM Liquid Fund Unclaimed Redemption IEF (Direct) Growth Plan	41.4437
JM Liquid Fund (Regular) - Bonus Option - Principal Units	23.3397
JM Liquid Fund (Regular) - Daily IDCW	10.4302
Kotak Liquid Fund - Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option	1222.81
Kotak Liquid Fund - Direct Plan - Growth	5454.5515
Kotak Liquid Fund - Direct Plan - Weekly - Reinvestment & Payout of Income Distribution cum capital withdrawal option	1001.527
Kotak Liquid Fund - Regular  - Daily Reinvestment of Income Distribution cum capital withdrawal option	1222.81
Kotak Liquid Fund - Regular Plan - Growth	5400.9183
Kotak Liquid Fund - Regular Plan - Weekly - Reinvestment & Payout of Income Distribution cum capital withdrawal option	1003.33
LIC MF Liquid Fund-Direct Plan-Daily IDCW	1034.6038
LIC MF Liquid Fund-Direct Plan-Growth	4900.9192
LIC MF Liquid Fund-Direct Plan-Monthly IDCW	1189.6801
LIC MF Liquid Fund-Direct Plan-Weekly IDCW	1062.6449
LIC MF Liquid Fund-Regular Plan-Daily IDCW	1000.1751
LIC MF Liquid Fund-Regular Plan-Growth	4829.5857
LIC MF Liquid Fund-Regular Plan-Monthly IDCW	1170.0216
LIC MF Liquid Fund-Regular Plan-Weekly IDCW	1001.6335
Mahindra Manulife Liquid Fund - Direct Plan - Daily IDCW	1234.4997
Mahindra Manulife Liquid Fund - Direct Plan - Weekly IDCW	1003.9636
Mahindra Manulife Liquid Fund - Direct Plan -Growth	1758.4710
Mahindra Manulife Liquid Fund - Regular Plan - Daily IDCW	1001.0440
Mahindra Manulife Liquid Fund - Regular Plan - Growth	1739.0171
Mahindra Manulife Liquid Fund - Regular Plan - Weekly IDCW	1010.3710
Mahindra Manulife Liquid Fund - Unclaimed Redemption / IDCW Beyond 3 years	1000.0000
Mahindra Manulife Liquid Fund - Unclaimed Redemption / IDCW Upto three years	1218.6343
Mirae Asset Liquid Fund - Direct Plan - Growth	2851.7030
Mirae Asset Liquid Fund - Direct Plan - Weekly IDCW	1216.2089
Mirae Asset Liquid Fund - Direct Plan -Daily IDCW	1075.8332
Mirae Asset Liquid Fund - Direct Plan -Monthly IDCW	1135.0395
Mirae Asset Liquid Fund - Regular - Daily IDCW	1066.4347
Mirae Asset Liquid Fund - Regular Plan - Growth	2802.0401
Mirae Asset Liquid Fund - Regular Plan - Monthly IDCW	1152.7002
Mirae Asset Liquid Fund - Regular Plan - Weekly IDCW	1152.5501
Motilal Oswal Liquid Fund - Direct Growth	14.2529
Motilal Oswal Liquid Fund - Regular Growth	14.1023
Motilal Oswal Liquid Fund - Unclaimed Dividend - Greater than 3 years	10.0000
Motilal Oswal Liquid Fund - Unclaimed Dividend- Upto 3 years	13.8804
Motilal Oswal Liquid Fund - Unclaimed Redemption - Greater than 3 years	10.0000
Motilal Oswal Liquid Fund - Unclaimed Redemption - Upto 3 years	13.6041
Motilal Oswal Liquid Fund Direct - IDCW  Quarterly Payout/Reinvestment	10.0985
Motilal Oswal Liquid Fund Direct - IDCW Fortnightly Reinvestment	10.0228
