Scheme Name	Net Asset Value
Bandhan Banking and PSU Fund - Direct Annual IDCW	12.6512
Bandhan Banking and PSU Fund - Direct Daily IDCW	10.4768
Bandhan Banking and PSU Fund - Direct Fortnightly IDCW	10.4750
Bandhan Banking and PSU Fund - Direct Growth	25.9866
Bandhan Banking and PSU Fund - Direct IDCW	13.6696
Bandhan Banking and PSU Fund - Direct Monthly IDCW	10.4791
Bandhan Banking and PSU Fund - Direct Quarterly IDCW	11.0360
Bandhan Banking and PSU Fund - Regular Annual IDCW	11.6184
Bandhan Banking and PSU Fund - Regular Daily IDCW	10.8788
Bandhan Banking and PSU Fund - Regular Fortnightly IDCW	10.6302
Bandhan Banking and PSU Fund - Regular Growth	25.2196
Bandhan Banking and PSU Fund - Regular IDCW	13.6184
Bandhan Banking and PSU Fund - Regular Monthly IDCW	10.7221
Bandhan Banking and PSU Fund - Regular Quarterly IDCW	10.9309
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.4890
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	11.0029
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.3662
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.9091
DSP Banking & PSU Debt Fund - Direct Plan - Growth	25.5496
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.7747
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1889
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.4361
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly	10.5259
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.2022
DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.6483
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.7539
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1888
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.4228
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly	10.5149
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.2017
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	26.2082
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.7501
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5306
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.906
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option	10.5521
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option	25.2617
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option	17.8662
